Complexity,Loss,Equation
1,0.5534078,"qG"
3,0.2960542,"qG * nr_M"
5,0.288554,"(qG + nr_M) - nr_X"
7,0.14558534,"nr_M * (qG / (nr_X - -0.46978444))"
9,0.08477852,"(qG * (nr_M + 0.4876041)) / (nr_X + 0.71772784)"
11,0.053578686,"qG * (nr_M / ((nr_X + (nr_P + nr_M)) * 0.34325337))"
13,0.000109989196,"qG * ((nr_M * 1.7035458) / (((nr_P + nr_M) * 0.4184782) + nr_X))"
15,9.765244e-5,"(qG * ((nr_M * 1.6977463) + 0.0038829795)) / (((nr_M + nr_P) * 0.41829994) + nr_X)"
17,4.1792163e-8,"qG * ((nr_M + (nr_M * 0.70292825)) / (((nr_P * 0.403023) + (nr_M * 0.42779395)) + nr_X))"
21,1.8301387e-8,"((qG * (nr_M + nr_M)) / 1.1744887) / ((((nr_M * 0.42771655) + nr_X) + nr_X) + ((nr_P * 0.40296176) - nr_X))"
23,9.227802e-9,"qG * (((nr_M * 0.702509) + nr_M) / (nr_X + ((((nr_P * 0.46929586) + (nr_P + nr_P)) * 0.16319165) + (nr_M * 0.4275212))))"
25,8.496555e-9,"((nr_M * 0.7025348) + nr_M) * (qG / ((nr_M * 0.427519) + (nr_X + ((((nr_P / 1.1024534) * 0.46958476) + (nr_P + nr_P)) * 0.16611275))))"
27,7.559427e-9,"qG * ((nr_M + (nr_M * 0.702509)) / ((nr_X + (nr_M * 0.4275212)) + (((((nr_X * -0.0003529172) + 0.46948597) * nr_P) + (nr_P + nr_P)) * 0.16319165)))"
