Complexity,Loss,Equation
1,0.0068177683,"0.2611326"
4,0.005596573,"0.23646706 / x2"
6,0.0023401608,"(x1 * -0.103338644) + 0.36846632"
8,0.0023401605,"((x1 * -0.061925486) + 0.2208027) / 0.5992279"
9,0.0019798044,"((x1 * -0.109221175) / x3) + 0.37840873"
11,0.00061252527,"((x1 * -0.15153286) + (x8 * 0.10136998)) + 0.3169448"
13,0.0006125252,"(x1 * -0.15153523) + (0.31694347 + ((x8 * 0.19922115) / 1.9652295))"
14,0.0005630574,"((x1 * -0.15474527) + 0.31443036) + ((x4 + x8) * 0.10525034)"
16,0.00035824254,"(((x1 * -0.5929552) + (x8 * 0.39043766)) / (x0 + 3.6417856)) + 0.31726712"
19,0.00035087642,"(x9 * 0.31619066) + (((x1 * -0.5643324) + (x8 * 0.3753571)) / (x0 + 3.4656327))"
21,0.000324586,"(((x1 * -0.6653913) + (x8 * 0.43990055)) / (x0 + 4.1383834)) + ((x5 * -1.7480662) + 0.3190545)"
24,0.0003195851,"(((x8 * 0.41837367) + (x1 * -0.6267568)) / (x0 + 3.8957894)) + (((x5 * -1.6573658) + 0.31788924) * x9)"
27,0.00031725084,"(((x1 * -0.6080719) + (x11 * (x8 * 0.40957037))) / (x0 + 3.7653856)) + (((x5 * -1.6265243) + 0.31798467) * x9)"
30,0.00031524277,"((((x9 * x1) * -0.60961074) + ((x8 * 0.40837863) * x11)) / (x0 + 3.7671907)) + (((x5 * -1.586425) + 0.31842715) * x9)"
