,process,t,G,P,X,V_N
0,DoE1_R1,0.0,0.0129884492168867,0.0,27.450000000000085,1.3332875623847258
1,DoE1_R1,2.035277777777779,0.0129884492168867,4.14,36.50000000000005,1.4731050417733385
2,DoE1_R1,4.052777777777777,1.6766227946136918,6.62,39.99999999999996,1.6641372910359662
3,DoE1_R1,6.144444444444446,20.94389471934616,6.08,34.56666666666671,1.9546619690138816
4,DoE1_R1,8.169722222222223,53.48495758276613,5.57,29.33333333333329,2.3607769459521046
5,DoE1_R1,10.219444444444452,94.9680651568819,4.56,25.85000000000004,2.943189063349676
6,DoE1_R1,12.027777777777782,141.01895279060878,3.82,22.93333333333325,3.6383017486734763
7,DoE1_R2,0.0,0.0,0.0,21.166666666666703,1.3260536767780842
8,DoE1_R2,2.1283333333333374,0.0,2.36,26.96666666666665,1.3892605101005937
9,DoE1_R2,4.145833333333336,0.0,4.62,32.06666666666669,1.4632491571557964
10,DoE1_R2,6.179166666666667,0.0,7.19,36.39999999999999,1.5549487496720602
11,DoE1_R2,8.212500000000006,0.0,8.16,40.6333333333333,1.668568703863875
12,DoE1_R2,10.245833333333335,0.0,8.95,44.76666666666662,1.8107490994439133
13,DoE1_R2,12.1625,0.0,9.41,52.26666666666668,1.9816954867019287
14,DoE1_R3,0.0,0.0,0.0,26.300000000000065,1.3018684050389646
15,DoE1_R3,2.2694444444444457,0.0,1.69,27.90000000000004,1.3259129980847444
16,DoE1_R3,4.287222222222223,0.0,2.47,29.36666666666669,1.3489424039317905
17,DoE1_R3,6.320555555555558,0.0,3.23,29.899999999999963,1.3737373508821484
18,DoE1_R3,8.32888888888889,0.0,3.97,31.233333333333373,1.3999850589397782
19,DoE1_R3,10.349181676673341,0.0,4.5773363221896375,33.12770066835641,1.4277597014188745
20,DoE1_R3,12.253888888888891,0.0,5.37,35.95000000000004,1.455928794528796
21,DoE1_R4,0.0,0.0,0.0,25.1,1.3012868750934172
22,DoE1_R4,2.2886111111111163,0.0,2.3,29.9,1.3734951834421754
23,DoE1_R4,4.265000000000004,0.0,4.13,35.2,1.4526310787422898
24,DoE1_R4,6.315000000000005,0.0,5.31,38.6,1.5517905489272925
25,DoE1_R4,8.406666666666666,0.0,8.2,42.400000000000006,1.6775367832913053
26,DoE1_R4,10.381666666666668,0.0,8.07,46.1,1.826129243157228
27,DoE1_R4,12.265,0.0,9.0,49.4,2.001486573798998
28,DoE2_R1,0.0,0.5012072218927254,0.0,45.13333333333325,0.8890289153160542
29,DoE2_R1,2.1666666666670054,4.992031626795661,1.54,52.0333333333333,1.0403696702550507
30,DoE2_R1,4.083333333333972,0.5012072218927254,6.29,61.63333333333328,1.2447089278611259
31,DoE2_R1,6.083333333334284,5.576672963308655,8.76,66.5,1.5451317859697973
32,DoE2_R1,8.125000000001272,42.38913134621821,7.62,63.03333333333328,1.9681604145713911
33,DoE2_R1,10.108333333334912,89.63386986408221,6.26,57.63333333333335,2.5629365064680316
34,DoE2_R1,12.04166666666854,139.03224802560874,4.88,46.00000000000004,3.436680186984552
35,DoE2_R2,0.0,0.0,0.0,43.73333333333333,1.1021559554545832
36,DoE2_R2,2.133333333333667,0.0,1.73,47.76666666666674,1.1789807880149046
37,DoE2_R2,4.066666666667302,0.0,4.2,53.99999999999997,1.2658220362125274
38,DoE2_R2,6.066666666667604,0.0,5.99,58.76666666666656,1.3771439884272245
39,DoE2_R2,8.100000000001252,0.0,7.83,63.4333333333333,1.5185187480045927
40,DoE2_R2,10.083333333334885,0.0,9.45,67.90000000000008,1.6909285924967477
41,DoE2_R2,12.033333333335172,0.0,9.87,70.16666666666656,1.8994849024050737
42,DoE2_R3,0.0,0.0,0.0,32.53333333333338,1.0997328332205005
43,DoE2_R3,2.0919444444447706,0.0,0.79,33.86666666666671,1.1198518752801674
44,DoE2_R3,4.033333333333957,0.0,1.42,35.56666666666667,1.1381930115055818
45,DoE2_R3,6.033333333334248,0.0,2.42,37.09999999999999,1.1583360994537553
46,DoE2_R3,8.066666666667835,0.0,3.04,37.96666666666663,1.1804186242393488
47,DoE2_R3,10.041666666668078,0.0,3.67,39.69999999999996,1.2035523440775788
48,DoE2_R3,11.991666666668335,0.0,3.98,40.50000000000009,1.2276815889359312
49,DoE2_R4,0.0,0.0,0.0,30.36666666666658,0.9363983896773591
50,DoE2_R4,2.116666666666955,0.0,1.53,36.13333333333336,0.9955596315347203
51,DoE2_R4,4.058333333333955,0.0,3.13,40.36666666666674,1.0635313855689352
52,DoE2_R4,6.066666666667555,0.0,5.19,45.299999999999976,1.152270678636336
53,DoE2_R4,8.091666666667955,0.0,6.67,49.4666666666667,1.2641581735882101
54,DoE2_R4,10.066666666668254,0.0,7.59,54.56666666666658,1.4026533253939646
55,DoE2_R4,12.016666666668556,0.0,7.67,58.46666666666667,1.5711011658735514
56,DoE3_R1,0.0,0.0,0.0,22.800000000000004,1.273409925376278
57,DoE3_R1,1.7750000000000057,0.0,0.59,24.29999999999999,1.2754150871837655
58,DoE3_R1,3.758333333333333,0.0,0.8,23.699999999999942,1.2777637707311367
59,DoE3_R1,5.766666666666673,0.0,0.87,23.466666666666672,1.2801764932600468
60,DoE3_R1,7.766666666666669,0.0,0.32,23.63333333333332,1.2828027462917648
61,DoE3_R1,9.800000000000004,0.0,0.4,23.766666666666715,1.2852542461965064
62,DoE3_R1,11.683333333333335,0.0,0.46,25.73333333333332,1.2876763158454911
63,DoE3_R2,0.0,0.0,0.0,23.59999999999999,1.2685863819597873
64,DoE3_R2,2.200277777777778,1.8726440417633567,1.27,32.83333333333327,1.405517020046089
65,DoE3_R2,4.19166666666667,11.044498404272169,3.02,39.03333333333333,1.6016442061668426
66,DoE3_R2,6.200277777777778,33.48169660430265,4.56,46.13333333333328,1.903506835084593
67,DoE3_R2,8.200277777777778,45.84417061912816,4.02,53.06666666666666,2.3924312913775934
68,DoE3_R2,10.225277777777777,81.49134170645452,2.88,54.7333333333333,3.109173914145694
69,DoE3_R2,12.150277777777774,133.78241418037098,2.14,47.30000000000012,4.044189201000125
70,DoE3_R3,0.0,0.0,0.0,23.06666666666657,1.259957200239475
71,DoE3_R3,2.2002777777777744,0.0,0.52,28.366666666666653,1.3226266813336336
72,DoE3_R3,4.18333333333333,0.0,1.43,32.66666666666662,1.3954300595928613
73,DoE3_R3,6.191944444444442,0.0,2.63,38.299999999999926,1.4878332022538274
74,DoE3_R3,8.191944444444445,0.0,3.68,44.19999999999994,1.6027996135977807
75,DoE3_R3,10.225277777777777,0.0,4.76,51.14999999999992,1.7534373565698351
76,DoE3_R3,12.141944444444448,0.0,5.23,60.150000000000034,1.9332340533033
77,DoE3_R4,0.0,0.0,0.0,22.2,1.2609043135283167
78,DoE3_R4,2.091666666666669,0.0,1.32,28.23333333333333,1.3207527473687013
79,DoE3_R4,4.074999999999999,0.0,2.71,30.86666666666667,1.391369334985411
80,DoE3_R4,6.083333333333336,0.0,3.6,33.26666666666663,1.4771193717132358
81,DoE3_R4,8.083333333333336,0.0,3.96,36.49999999999998,1.584339492120665
82,DoE3_R4,10.116666666666667,0.0,4.02,41.59999999999994,1.7271143596725913
83,DoE3_R4,12.033333333333331,0.0,3.71,51.16666666666666,1.902115831922398
84,VAL_R1,0.0,0.0906666666666666,0.0,31.300000000000104,1.3146774190908517
85,VAL_R1,2.5,0.0906666666666666,2.8508103615459204,41.066666666666734,1.4480912189095887
86,VAL_R1,4.5,0.0906666666666666,5.565867848732512,49.86666666666665,1.5802241751827961
87,VAL_R1,6.5,0.0906666666666666,7.754536639423742,54.73333333333338,1.7468283225312142
88,VAL_R1,8.582999999999998,0.0906666666666666,8.69649535946807,56.1666666666667,1.9608282143600184
89,VAL_R1,10.499999999999996,0.3626666666666667,8.751904695941265,63.03333333333335,2.219024589491116
90,VAL_R1,11.999999999999996,0.0906666666666666,7.837650644133536,57.3666666666667,2.4402852462837816
91,VAL_R2,0.0,0.0906666666666667,0.0,31.4333333333334,1.3164482908604695
92,VAL_R2,2.5,0.0906666666666667,3.04474303920211,41.1666666666667,1.4108829378526995
93,VAL_R2,4.5,0.0906666666666667,5.84291453109849,47.1333333333334,1.5129482530801595
94,VAL_R2,6.5,0.0906666666666667,7.64371796647735,51.400000000000006,1.6411564054683165
95,VAL_R2,8.582999999999998,0.0906666666666667,8.39174400886549,52.56666666666669,1.801929683860632
96,VAL_R2,10.499999999999996,0.0906666666666667,7.72683197118715,58.0333333333333,1.984861313832269
97,VAL_R2,11.999999999999996,0.0906666666666667,7.28355727940158,58.6333333333334,2.2012084646702625
98,VAL_R3,0.0,0.0906666666666666,0.0,30.666666666666693,1.2970527132079983
99,VAL_R3,2.5,0.0906666666666666,3.044743039202106,39.76666666666658,1.3967129965613072
100,VAL_R3,4.5,0.0906666666666666,5.898323867571687,43.29999999999998,1.5021729346694417
101,VAL_R3,6.5,0.0906666666666666,7.699127302950547,45.79999999999998,1.6379370524039818
102,VAL_R3,8.582999999999998,0.0906666666666666,7.588308630004155,48.26666666666661,1.8129751310280975
103,VAL_R3,10.499999999999996,0.0906666666666666,6.978805928799003,50.30000000000016,2.0137956753646855
104,VAL_R3,11.999999999999996,0.0906666666666666,6.452417232303644,49.83333333333332,2.1903508367799738
