,process,discrete_steps
0,DoE1_R1_aug_01,0.0
1,DoE1_R1_aug_01,0.0
2,DoE1_R1_aug_01,0.0
3,DoE1_R1_aug_01,0.0
4,DoE1_R1_aug_01,2.035277777777779
5,DoE1_R1_aug_01,4.052777777777777
6,DoE1_R1_aug_01,6.144444444444446
7,DoE1_R1_aug_01,8.169722222222223
8,DoE1_R1_aug_01,9.219444444444443
9,DoE1_R1_aug_01,10.219444444444452
10,DoE1_R1_aug_01,10.386388888888892
11,DoE1_R1_aug_01,11.719722222222227
0,DoE1_R1_aug_02,0.0
1,DoE1_R1_aug_02,0.0
2,DoE1_R1_aug_02,0.0
3,DoE1_R1_aug_02,0.0
4,DoE1_R1_aug_02,2.035277777777779
5,DoE1_R1_aug_02,4.052777777777777
6,DoE1_R1_aug_02,6.144444444444446
7,DoE1_R1_aug_02,8.169722222222223
8,DoE1_R1_aug_02,9.219444444444443
9,DoE1_R1_aug_02,10.219444444444452
10,DoE1_R1_aug_02,10.386388888888892
11,DoE1_R1_aug_02,11.719722222222227
0,DoE1_R1_aug_03,0.0
1,DoE1_R1_aug_03,0.0
2,DoE1_R1_aug_03,0.0
3,DoE1_R1_aug_03,0.0
4,DoE1_R1_aug_03,2.035277777777779
5,DoE1_R1_aug_03,4.052777777777777
6,DoE1_R1_aug_03,6.144444444444446
7,DoE1_R1_aug_03,8.169722222222223
8,DoE1_R1_aug_03,9.219444444444443
9,DoE1_R1_aug_03,10.219444444444452
10,DoE1_R1_aug_03,10.386388888888892
11,DoE1_R1_aug_03,11.719722222222227
0,DoE1_R1_aug_04,0.0
1,DoE1_R1_aug_04,0.0
2,DoE1_R1_aug_04,0.0
3,DoE1_R1_aug_04,0.0
4,DoE1_R1_aug_04,2.035277777777779
5,DoE1_R1_aug_04,4.052777777777777
6,DoE1_R1_aug_04,6.144444444444446
7,DoE1_R1_aug_04,8.169722222222223
8,DoE1_R1_aug_04,9.219444444444443
9,DoE1_R1_aug_04,10.219444444444452
10,DoE1_R1_aug_04,10.386388888888892
11,DoE1_R1_aug_04,11.719722222222227
0,DoE1_R1_aug_05,0.0
1,DoE1_R1_aug_05,0.0
2,DoE1_R1_aug_05,0.0
3,DoE1_R1_aug_05,0.0
4,DoE1_R1_aug_05,2.035277777777779
5,DoE1_R1_aug_05,4.052777777777777
6,DoE1_R1_aug_05,6.144444444444446
7,DoE1_R1_aug_05,8.169722222222223
8,DoE1_R1_aug_05,9.219444444444443
9,DoE1_R1_aug_05,10.219444444444452
10,DoE1_R1_aug_05,10.386388888888892
11,DoE1_R1_aug_05,11.719722222222227
0,DoE1_R1_aug_06,0.0
1,DoE1_R1_aug_06,0.0
2,DoE1_R1_aug_06,0.0
3,DoE1_R1_aug_06,0.0
4,DoE1_R1_aug_06,2.035277777777779
5,DoE1_R1_aug_06,4.052777777777777
