,process,t,G_exp,G,P_exp,P,X_exp,X,V_N
0,DoE1_R1_aug_01,0.0,0.6478273015742754,0.6465467,-0.03578219471828221,0.0,27.396093436972368,29.529741,1.3332875623847258
392,DoE1_R1_aug_01,3.145356163368173,-0.18345686770950653,0.0,5.634430042739795,5.423201,38.772502781337955,39.882233,1.5698648970708615
448,DoE1_R1_aug_01,3.5946927581350545,1.394246818513321,1.3769859,5.976846216594973,6.066108,38.92180673051625,40.15751,1.6154822027274982
477,DoE1_R1_aug_01,3.8273849232821897,2.415591673709133,2.6168356,6.117089367625586,6.2859335,38.88783015151544,38.217678,1.64001501185016
536,DoE1_R1_aug_01,4.3007931213401545,4.947787400068114,5.190588,6.329948744290907,5.938345,38.605726864379214,39.236053,1.6889004174395896
596,DoE1_R1_aug_01,4.7822251871618136,8.181458057933874,8.625977,6.454733090387157,7.547212,38.05625903846589,38.340656,1.7491241973874645
603,DoE1_R1_aug_01,4.838392261507674,8.603869253333311,8.939711,6.463714527592258,7.6484165,37.976600979028056,41.539444,1.7566774658386004
658,DoE1_R1_aug_01,5.279704988510861,12.264403844272337,12.543747,6.4968724612706605,7.232898,37.2495602861894,34.649136,1.8192866214741323
0,DoE1_R1_aug_02,0.0,0.6478273015742754,0.7003726,-0.03578219471828221,0.0,27.396093436972368,25.065779,1.3332875623847258
562,DoE1_R1_aug_02,4.509413683196207,6.2651040241104665,6.4662337,6.394806614512979,6.416409,38.39797965597394,38.430416,1.7139540326826315
618,DoE1_R1_aug_02,4.958750277963088,9.541670636503994,9.167377,6.479240565929136,6.1104336,37.79573731890909,37.363964,1.77319683495364
647,DoE1_R1_aug_02,5.191442443110224,11.48302316183253,11.344069,6.495364635896498,5.5506787,37.40861818359676,38.15815,1.806335659572362
706,DoE1_R1_aug_02,5.664850641168189,15.971714332402104,15.62753,6.475671082143767,5.9719853,36.48398636255617,39.697826,1.8779106155059304
766,DoE1_R1_aug_02,6.146282706989848,21.311596787351274,18.850552,6.391416918136481,6.50577,35.38552343761855,37.316673,1.9576568765793083
773,DoE1_R1_aug_02,6.202449781335708,21.987365328381166,22.63559,6.3778140112140385,8.332692,35.248675157004314,36.243607,1.9644961690185745
828,DoE1_R1_aug_02,6.643762508338896,27.67947675360816,27.947403,6.246636264049357,5.115945,34.12215457286886,33.079758,2.0409097396680913
0,DoE1_R1_aug_03,0.0,0.6478273015742754,0.6825804,-0.03578219471828221,0.0,27.396093436972368,24.676706,1.3332875623847258
159,DoE1_R1_aug_03,1.2757949744273966,-1.8517810329645041,0.0,3.0353699126022886,3.1245608,34.4969662749899,31.612366,1.4147680264573943
215,DoE1_R1_aug_03,1.7251315691942783,-2.0975852392741507,0.0,3.850316531014223,3.7214658,36.1287083744445,36.693222,1.4487203303880043
244,DoE1_R1_aug_03,1.9578237343414138,-2.0757085771394075,0.0,4.222271340065602,3.6091704,36.81301182690065,38.062054,1.466958013259936
303,DoE1_R1_aug_03,2.4312319323993785,-1.6930788247396589,0.0,4.879180021681545,4.0611916,37.88816275832241,42.48126,1.5050089610747994
363,DoE1_R1_aug_03,2.9126639982210376,-0.8051569414590096,0.0,5.417909067842128,5.2009006,38.575831497872144,37.393444,1.547511776408858
370,DoE1_R1_aug_03,2.9688310725668976,-0.6669097845604197,0.0,5.472712222106127,5.384504,38.63110488926165,38.96307,1.5528125938721784
425,DoE1_R1_aug_03,3.4101437995700854,0.6846124417565993,0.7011111,5.847925769197369,5.970305,38.895886115385046,37.907547,1.5964158182474202
0,DoE1_R1_aug_04,0.0,0.6478273015742754,0.6602279,-0.03578219471828221,0.0,27.396093436972368,26.969753,1.3332875623847258
1091,DoE1_R1_aug_04,8.7540397301905,63.461833310061564,61.19883,5.2283826583795925,4.838058,28.25700507266498,28.13671,2.505778449634762
1147,DoE1_R1_aug_04,9.203376324957382,72.70912103031071,72.180466,4.978430216690573,5.5318065,27.097575005740772,27.50952,2.6257881703397974
1176,DoE1_R1_aug_04,9.436068490104518,77.69676814001166,81.326645,4.850885872688466,5.008878,26.534094628923878,26.222212,2.6920873994283423
1235,DoE1_R1_aug_04,9.909476688162483,88.2404464158833,83.78509,4.601028412527624,4.202403,25.486947358414923,24.277687,2.8397705563100377
1295,DoE1_R1_aug_04,10.390908753984142,99.47616813212812,105.28773,4.36814585642311,5.8229084,24.588834587605007,24.7584,3.0032207467054954
1302,DoE1_R1_aug_04,10.447075828330002,100.81894409420984,97.60037,4.342814982217277,3.7587688,24.496704730025986,24.213379,3.0184327080504283
1357,DoE1_R1_aug_04,10.88838855533319,111.58905537087497,109.43986,4.160292673816702,5.324378,23.87673263583615,23.490557,3.1821508824351983
0,DoE1_R1_aug_05,0.0,0.6478273015742754,0.7046323,-0.03578219471828221,0.0,27.396093436972368,28.98887,1.3332875623847258
18,DoE1_R1_aug_05,0.14442961974649773,0.24709275776390918,0.24029332,0.37188851300033177,0.3485962,28.39752767595793,27.990297,1.340709751973466
74,DoE1_R1_aug_05,0.5937662145133795,-0.8186351752362347,0.0,1.5395858531022644,1.1772097,31.180424378949784,28.772375,1.3677319945866813
103,DoE1_R1_aug_05,0.8264583796605148,-1.254736877685535,0.0,2.0863532687139354,2.0464594,32.43096029523223,35.513954,1.3830527886397552
162,DoE1_R1_aug_05,1.2998665777184795,-1.874153587825542,0.0,3.082355812584232,3.3232598,34.59512093484001,31.941149,1.416536233483197
222,DoE1_R1_aug_05,1.7812986435401388,-2.101934436950814,0.0,3.9431537489949675,4.614584,36.30364688829302,35.010086,1.453087845615471
229,DoE1_R1_aug_05,1.837465717885999,-2.1002026507071365,0.0,4.03403577789078,4.3552237,36.472331180953134,31.005598,1.4574783797745074
284,DoE1_R1_aug_05,2.2787784448891863,-1.8674710805830075,0.0,4.68185033850344,4.462647,37.58683376368762,39.666794,1.492810411188426
0,DoE1_R1_aug_06,0.0,0.6478273015742754,0.6509406,-0.03578219471828221,0.0,27.396093436972368,26.2369,1.3332875623847258
703,DoE1_R1_aug_06,5.640779037877106,15.725576651198399,17.135378,6.478263471499496,7.655102,36.535026452424425,36.28066,1.8741563728205846
759,DoE1_R1_aug_06,6.090115632643988,20.647005072569655,20.96053,6.404270546360472,5.7627435,35.52070395190309,32.81147,1.9458082629494642
788,DoE1_R1_aug_06,6.322807797791123,23.472854074665392,22.075737,6.346214000998069,6.031551,34.950087330663415,36.058125,1.9847115397051676
847,DoE1_R1_aug_06,6.796215995849088,29.800128790051097,29.10457,6.19216063611516,7.0557604,33.71511351509328,33.32441,2.068825898925208
907,DoE1_R1_aug_06,7.277648061670747,36.99796035101172,37.107063,5.994041701645026,5.9737716,32.387658847767504,35.2897,2.1625224663734506
914,DoE1_R1_aug_06,7.333815136016607,37.88606924345345,33.805862,5.968650400732617,5.463922,32.22978397089271,31.119764,2.174028598558637
969,DoE1_R1_aug_06,7.775127863019795,45.20318359264466,45.03314,5.755725416518211,6.0171266,30.97941871236836,33.419086,2.268888866934033
0,DoE1_R1_aug_07,0.0,0.6478273015742754,0.5952431,-0.03578219471828221,0.0,27.396093436972368,27.501072,1.3332875623847258
111,DoE1_R1_aug_07,0.8906493217700694,-1.3602550987908955,0.0,2.2304365595691547,2.187959,32.75383682836214,33.401867,1.3874208396650247
167,DoE1_R1_aug_07,1.3399859165369512,-1.9091870448664914,0.0,3.1598139250402824,3.4753208,34.75595511233521,34.068726,1.4194972286684617
196,DoE1_R1_aug_07,1.5726780816840864,-2.0556489521785184,0.0,3.5883511310732485,3.000267,35.62188139573579,34.931797,1.436992185105682
255,DoE1_R1_aug_07,2.046086279742051,-2.0394321385366614,0.0,4.354738490842569,4.304606,37.0451006829574,37.1948,1.4759862113254034
315,DoE1_R1_aug_07,2.5275183455637102,-1.5570433467274432,0.0,4.9970495049167765,4.8589964,38.05725288930185,33.193596,1.5130486585955205
322,DoE1_R1_aug_07,2.5836854199095707,-1.4682701036208208,0.0,5.0634280036425166,5.8472867,38.14844596786798,38.488056,1.5178518940560732
377,DoE1_R1_aug_07,3.024998146912758,-0.521188893928489,0.0,5.525888265846222,5.3581395,38.681371844975786,36.19974,1.5581756014729635
0,DoE1_R1_aug_08,0.0,0.6478273015742754,0.6739974,-0.03578219471828221,0.0,27.396093436972368,26.393774,1.3332875623847258
144,DoE1_R1_aug_08,1.1554369579719819,-1.7249016237075974,0.0,2.7946444738479266,2.8307781,33.98740566750589,32.28732,1.4060253813951773
200,DoE1_R1_aug_08,1.6047735527388636,-2.0680950678347747,0.0,3.644723677983395,3.9932623,35.7325055608042,34.568684,1.4394450486420243
229,DoE1_R1_aug_08,1.837465717885999,-2.1002026507071365,0.0,4.03403577789078,4.299467,36.472331180953134,38.168148,1.4574783797745074
288,DoE1_R1_aug_08,2.3108739159439637,-1.8348813582638677,0.0,4.724495933193666,4.968794,37.653740954539494,37.262268,1.495322359577925
348,DoE1_R1_aug_08,2.792305981765623,-1.076540515147331,0.0,5.294922534256761,6.206295,38.440255673371524,41.331165,1.5363745769292692
355,DoE1_R1_aug_08,2.848473056111483,-0.9540866837013149,0.0,5.353264605823493,5.613499,38.50645587152643,37.42905,1.5415332378940743
410,DoE1_R1_aug_08,3.2897857831146706,0.2684334382644722,0.25929508,5.755126925489427,5.097147,38.85269012233233,36.5586,1.5842164108275827
0,DoE1_R1_aug_09,0.0,0.6478273015742754,0.64527184,-0.03578219471828221,0.0,27.396093436972368,27.52811,1.3332875623847258
402,DoE1_R1_aug_09,3.225594841005116,0.06125159192482421,0.058710735,5.70275541951014,5.1731224,38.820922540740014,42.700756,1.577796841760118
458,DoE1_R1_aug_09,3.674931435771998,1.7302845316031776,1.7818301,6.027969428370624,5.841463,38.918309557351606,41.92436,1.6238877740253643
487,DoE1_R1_aug_09,3.907623600919133,2.8012919147633313,2.8697493,6.159861895124774,5.8728366,38.859568074351046,38.29545,1.6485709684493661
546,DoE1_R1_aug_09,4.381031798977098,5.439510827516861,5.121724,6.356906372137594,6.1754494,38.53154771749355,36.82576,1.698336603632571
