Complexity,Loss,Equation
1,0.24904543,"qG"
3,0.2162375,"nr_X * qG"
5,0.19406697,"qG * (nr_X * 0.88828415)"
7,0.0871137,"qG - ((nr_X - nr_M) * -0.4933029)"
9,0.002761266,"2.409032 / (((nr_M / nr_X) + 1.3317435) / qG)"
11,0.0011448191,"(qG * 2.4648037) / (((nr_M + 0.068016484) / nr_X) + 1.3048381)"
13,1.4333441e-6,"qG * (2.468256 / (((nr_M - (nr_P * -0.0738416)) / nr_X) + 1.3028814))"
15,1.2200231e-6,"qG * ((2.4760597 / (((nr_M - (nr_P * -0.073788814)) / nr_X) + 1.3063544)) - 0.001617345)"
17,1.1977088e-6,"(2.4619026 / (((nr_M - (nr_P * -0.07327715)) / nr_X) + ((nr_M * -0.0026896603) + 1.3001834))) * qG"
19,3.4401523e-7,"(qG / ((((nr_M - (nr_P * -0.072858505)) / nr_X) - (-0.0022578165 / (nr_M + 0.235052))) + 1.292099)) * 2.4580605"
21,1.2673819e-7,"qG * (2.4539585 / ((((nr_M - (nr_P * -0.07327597)) / nr_X) + 1.286409) - (-0.0035225581 / ((nr_M / nr_X) + 0.2748356))))"
23,1.18297926e-7,"qG / (((((nr_M - (nr_P * -0.07328781)) / nr_X) + 1.2878944) - (-0.0038802992 / (((nr_M / nr_X) * 1.402865) + 0.32351592))) / 2.4548593)"
25,3.936576e-8,"2.4641602 * (qG / ((((nr_M - (nr_P * -0.073612206)) / nr_X) + 1.3041971) - (0.006076141 / ((0.24668019 * (nr_X / nr_M)) + (nr_M / nr_X)))))"
27,3.511389e-8,"((2.4657445 / ((1.3048816 + ((nr_M - (-0.07361 * nr_P)) / nr_X)) - (0.0057860864 / ((nr_X * (0.23504178 / nr_M)) + (nr_M / nr_X))))) - 0.00028468677) * qG"
29,3.4546012e-8,"qG * ((2.4657414 / (((nr_M - (nr_P * -0.07362969)) / nr_X) + (1.3048816 - (0.0057813125 / (((nr_X * 0.23403016) / nr_M) + (nr_M / (nr_X + 0.018492373))))))) - 0.00029070806)"
