Complexity,Loss,Equation
1,0.022969201,"0.44009045"
4,0.0057985107,"x3 + -0.5195738"
6,0.0034260226,"(1.0717256 / x10) + -0.6358177"
7,0.0031442237,"(x3 * 0.44857386) / x10"
9,0.0028511537,"((x3 * 1.5911864) + -1.0472842) / x2"
11,0.0012901052,"((x9 * 1.5475267) / (x4 + 6.1037717)) + 0.27805093"
14,0.00079516065,"((((x4 * x9) + -29.338892) * x9) / -110.9333) + 0.23366828"
16,0.00057668367,"((((x9 * x4) + -22.742516) * (x9 + -0.42931172)) / -83.364136) + 0.335635"
17,0.0004961289,"((((x9 * x9) + -0.26354393) * x4) / -98.08625) + (x3 + -0.4929376)"
19,0.00035601406,"((x3 * 1.1348966) + -0.633885) + ((((x9 * x9) + -0.42125604) * x4) / -84.55741)"
21,0.00027881275,"((((x9 + 0.42755213) * (x9 + -0.7432612)) * x4) / -67.558655) + ((x3 * 1.1474059) + -0.6496777)"
22,0.00025743656,"((x3 * 1.1468753) + -0.6494798) + ((((x9 * x9) + -0.60116464) * (x4 * x3)) / -87.56254)"
25,0.00025462892,"((x3 * 1.1497086) + -0.651047) + (((x4 * -0.47905603) + ((x9 * x4) * (x9 * x3))) / -95.80037)"
27,0.00025462054,"((x3 * 1.1486187) + -0.64997685) + (((x4 * 0.00315591) / 0.63335884) + (((x9 * x3) * (x9 * x4)) / -96.02303))"
28,0.00024237597,"(((x4 * 0.006065032) / x10) + (((x9 * x9) * (x3 * x4)) / -90.87557)) + ((x3 * 1.1529094) + -0.6557546)"
