,process,discrete_steps
0,exp1_aug_01,0.0
0,exp1_aug_02,0.0
0,exp1_aug_03,0.0
0,exp1_aug_04,0.0
0,exp1_aug_05,0.0
0,exp1_aug_06,0.0
0,exp1_aug_07,0.0
0,exp1_aug_08,0.0
0,exp1_aug_09,0.0
0,exp1_aug_10,0.0
1,exp2_aug_01,0.0
1,exp2_aug_02,0.0
1,exp2_aug_03,0.0
1,exp2_aug_04,0.0
1,exp2_aug_05,0.0
1,exp2_aug_06,0.0
1,exp2_aug_07,0.0
1,exp2_aug_08,0.0
1,exp2_aug_09,0.0
1,exp2_aug_10,0.0
2,exp3_aug_01,0.0
2,exp3_aug_02,0.0
2,exp3_aug_03,0.0
2,exp3_aug_04,0.0
2,exp3_aug_05,0.0
2,exp3_aug_06,0.0
2,exp3_aug_07,0.0
2,exp3_aug_08,0.0
2,exp3_aug_09,0.0
2,exp3_aug_10,0.0
3,exp4_aug_01,0.0
3,exp4_aug_02,0.0
3,exp4_aug_03,0.0
3,exp4_aug_04,0.0
3,exp4_aug_05,0.0
3,exp4_aug_06,0.0
3,exp4_aug_07,0.0
3,exp4_aug_08,0.0
3,exp4_aug_09,0.0
3,exp4_aug_10,0.0
4,exp5_aug_01,0.0
4,exp5_aug_02,0.0
4,exp5_aug_03,0.0
4,exp5_aug_04,0.0
4,exp5_aug_05,0.0
4,exp5_aug_06,0.0
4,exp5_aug_07,0.0
4,exp5_aug_08,0.0
4,exp5_aug_09,0.0
4,exp5_aug_10,0.0
5,exp6_aug_01,0.0
5,exp6_aug_02,0.0
5,exp6_aug_03,0.0
5,exp6_aug_04,0.0
5,exp6_aug_05,0.0
5,exp6_aug_06,0.0
5,exp6_aug_07,0.0
5,exp6_aug_08,0.0
5,exp6_aug_09,0.0
5,exp6_aug_10,0.0
6,exp7_aug_01,0.0
6,exp7_aug_02,0.0
6,exp7_aug_03,0.0
6,exp7_aug_04,0.0
6,exp7_aug_05,0.0
6,exp7_aug_06,0.0
6,exp7_aug_07,0.0
6,exp7_aug_08,0.0
6,exp7_aug_09,0.0
6,exp7_aug_10,0.0
7,exp8_aug_01,0.0
7,exp8_aug_02,0.0
7,exp8_aug_03,0.0
7,exp8_aug_04,0.0
7,exp8_aug_05,0.0
7,exp8_aug_06,0.0
7,exp8_aug_07,0.0
7,exp8_aug_08,0.0
7,exp8_aug_09,0.0
7,exp8_aug_10,0.0
8,exp9_aug_01,0.0
8,exp9_aug_02,0.0
8,exp9_aug_03,0.0
8,exp9_aug_04,0.0
8,exp9_aug_05,0.0
8,exp9_aug_06,0.0
8,exp9_aug_07,0.0
8,exp9_aug_08,0.0
8,exp9_aug_09,0.0
8,exp9_aug_10,0.0
