,process,t,G_exp,G,P_exp,P,X_exp,X,V_N
0,exp1_aug_01,0.0,0.0,0.0,-0.01850654487928378,0.0,3.593620347747351,3.4718015,0.5019444512095219
5,exp1_aug_01,1.5656565656565657,0.0,0.0,0.04836904929261551,0.044983145,9.253112219019362,8.211494,0.52760847475935
20,exp1_aug_01,6.262626262626263,0.0,0.0,0.39395385043490394,0.39940053,22.50503346836144,23.245771,0.5999413843400343
23,exp1_aug_01,7.202020202020202,0.0,0.0,0.4834631279032071,0.49073532,24.557887361240496,25.958828,0.6136948283547446
34,exp1_aug_01,10.646464646464647,0.0,0.0,0.8493230908933769,0.8972257,30.64434150931909,29.94074,0.6625416738687172
48,exp1_aug_01,15.030303030303031,0.0,0.0,1.3555754736028276,1.3162526,35.69444681785009,37.171894,0.7221042560335734
76,exp1_aug_01,23.7979797979798,0.0,0.0,2.21848529758317,2.1486466,40.41103826414706,43.11126,0.8387714177614198
81,exp1_aug_01,25.363636363636367,0.0,0.0,2.3159958842539594,2.2762015,40.955298607490214,41.914307,0.8600436530857667
91,exp1_aug_01,28.494949494949495,0.0,0.0,2.429978177635185,2.633345,42.15332261693412,39.462887,0.9036388539830952
0,exp1_aug_02,0.0,0.0,0.0,-0.01850654487928378,0.0,3.593620347747351,3.355383,0.5019444512095219
10,exp1_aug_02,3.1313131313131315,0.0,0.0,0.14169904999605643,0.13580537,14.262023198379879,14.153007,0.5524454436499832
38,exp1_aug_02,11.8989898989899,0.0,0.0,0.9920788923728522,1.0015836,32.3599900720641,31.42009,0.6797967645736844
42,exp1_aug_02,13.151515151515152,0.0,0.0,1.1372260619183463,1.2196023,33.84610598625251,32.241646,0.6968426845287745
53,exp1_aug_02,16.5959595959596,0.0,0.0,1.534323270270885,1.5194035,36.93428991256043,37.815395,0.7429572371224747
57,exp1_aug_02,17.84848484848485,0.0,0.0,1.672742070622517,1.7651696,37.76135971983589,39.007317,0.7595643770159876
64,exp1_aug_02,20.04040404040404,0.0,0.0,1.8995258329802365,1.9375583,38.928892666950965,38.187523,0.7885904317177541
70,exp1_aug_02,21.91919191919192,0.0,0.0,2.072176496695615,2.1540718,39.72436519815692,41.73057,0.8135669935800995
98,exp1_aug_02,30.68686868686869,0.0,0.0,2.4334596965558153,2.3359761,43.23321383425022,44.092247,0.9352536375779823
0,exp1_aug_03,0.0,0.0,0.0,-0.01850654487928378,0.0,3.593620347747351,3.4410472,0.5019444512095219
