,process,t,Cf_N,G_Cf,V_N,CF_N
0,exp1_aug_01,0.0,0.0166721204121014,339.9,0.5019444512095219,0.0019444512095218
1,exp1_aug_01,1.55,0.016124953043085,339.9,0.5273560547513189,0.0273560547513188
2,exp1_aug_01,3.1,0.0156252312428877,339.9,0.5519563191869753,0.0519563191869753
3,exp1_aug_01,4.65,0.0151729550115096,339.9,0.575818785148161,0.0758187851481609
4,exp1_aug_01,6.2,0.0147681243489507,339.9,0.5990169932665452,0.0990169932665452
5,exp1_aug_01,7.75,0.0144107392552109,339.9,0.6216244841737981,0.121624484173798
6,exp1_aug_01,9.3,0.0141007997302903,339.9,0.643714798501589,0.143714798501589
7,exp1_aug_01,10.85,0.0138383057741888,339.9,0.6653614768815878,0.1653614768815878
8,exp1_aug_01,12.4,0.0136232573869065,339.9,0.6866380599454643,0.1866380599454643
9,exp1_aug_01,13.95,0.0134556545684433,339.9,0.7076180883248878,0.2076180883248879
10,exp1_aug_01,15.5,0.0133354973187993,339.9,0.7283751026515286,0.2283751026515286
11,exp1_aug_01,17.05,0.0132627856379745,339.9,0.748982643557056,0.2489826435570559
12,exp1_aug_01,18.6,0.0132375195259688,339.9,0.7695142516731397,0.2695142516731397
13,exp1_aug_01,20.15,0.0132596989827823,339.9,0.7900434676314494,0.2900434676314494
14,exp1_aug_01,21.7,0.0133293240084149,339.9,0.8106438320636549,0.3106438320636548
15,exp1_aug_01,23.25,0.0134463946028667,339.9,0.8313888856014258,0.3313888856014257
16,exp1_aug_01,24.8,0.0136109107661377,339.9,0.8523521688764317,0.3523521688764318
17,exp1_aug_01,26.35,0.0138228724982278,339.9,0.8736072225203426,0.3736072225203427
18,exp1_aug_01,27.9,0.0140822797991371,339.9,0.8952275871648281,0.3952275871648281
19,exp1_aug_01,29.45,0.0143891326688655,339.9,0.9172868034415578,0.4172868034415578
20,exp1_aug_01,31.0,0.0147434311074131,339.9,0.9398584119822014,0.4398584119822014
0,exp1_aug_02,0.0,0.0166721204121014,339.9,0.5019444512095219,0.0019444512095218
1,exp1_aug_02,1.55,0.016124953043085,339.9,0.5273560547513189,0.0273560547513188
